WARD_NO,ALDERMAN,ADDRESS,CITY,STATE,ZIPCODE,WARD_PHONE,WARD_FAX,EMAIL,WEBSITE,LOCATION,CITY_HALL_ADDRESS,CITY_HALL_CITY,CITY_HALL_STATE,CITY_HALL_ZIPCODE,CITY_HALL_PHONE
40,Rodriguez Kevin,4000 Dummy Avenue,Chicago,IL,60616,(312) 555-4001,(312) 555-4002,ward40@example.com,https://www.example.com/ward40,"(41.8966, -87.6466)","121 North LaSalle Street, Room 200, Office 40",Chicago,IL,60602,(312) 555-3016
41,Lewis Jessica,4100 Dummy Avenue,Chicago,IL,60617,(312) 555-4101,(312) 555-4102,ward41@example.com,https://www.example.com/ward41,"(41.8977, -87.6477)","121 North LaSalle Street, Room 200, Office 41",Chicago,IL,60602,(312) 555-3017
42,Lee Andrew,4200 Dummy Avenue,Chicago,IL,60618,(312) 555-4201,(312) 555-4202,ward42@example.com,https://www.example.com/ward42,"(41.8988, -87.6488)","121 North LaSalle Street, Room 200, Office 42",Chicago,IL,60602,(312) 555-3018
43,Walker Melissa,4300 Dummy Avenue,Chicago,IL,60619,(312) 555-4301,(312) 555-4302,ward43@example.com,https://www.example.com/ward43,"(41.8999, -87.6499)","121 North LaSalle Street, Room 200, Office 43",Chicago,IL,60602,(312) 555-3019
44,Hall Anthony,4400 Dummy Avenue,Chicago,IL,60620,(312) 555-4401,(312) 555-4402,ward44@example.com,https://www.example.com/ward44,"(41.9010, -87.6510)","121 North LaSalle Street, Room 200, Office 44",Chicago,IL,60602,(312) 555-3020
45,Allen Amanda,4500 Dummy Avenue,Chicago,IL,60621,(312) 555-4501,(312) 555-4502,ward45@example.com,https://www.example.com/ward45,"(41.9021, -87.6521)","121 North LaSalle Street, Room 200, Office 45",Chicago,IL,60602,(312) 555-3021
46,Young Joseph,4600 Dummy Avenue,Chicago,IL,60622,(312) 555-4601,(312) 555-4602,ward46@example.com,https://www.example.com/ward46,"(41.9032, -87.6532)","121 North LaSalle Street, Room 200, Office 46",Chicago,IL,60602,(312) 555-3022
47,Hernandez Nicole,4700 Dummy Avenue,Chicago,IL,60623,(312) 555-4701,(312) 555-4702,ward47@example.com,https://www.example.com/ward47,"(41.9043, -87.6543)","121 North LaSalle Street, Room 200, Office 47",Chicago,IL,60602,(312) 555-3023
48,King Jonathan,4800 Dummy Avenue,Chicago,IL,60624,(312) 555-4801,(312) 555-4802,ward48@example.com,https://www.example.com/ward48,"(41.9054, -87.6554)","121 North LaSalle Street, Room 200, Office 48",Chicago,IL,60602,(312) 555-3024
49,Wright Rachel,4900 Dummy Avenue,Chicago,IL,60625,(312) 555-4901,(312) 555-4902,ward49@example.com,https://www.example.com/ward49,"(41.9065, -87.6565)","121 North LaSalle Street, Room 200, Office 49",Chicago,IL,60602,(312) 555-3025
50,Lopez William,5000 Dummy Avenue,Chicago,IL,60626,(312) 555-5001,(312) 555-5002,ward50@example.com,https://www.example.com/ward50,"(41.9076, -87.6576)","121 North LaSalle Street, Room 200, Office 50",Chicago,IL,60602,(312) 555-3026
